# ----------------------------------------
# zeniusnet
# Audience Overview
# 20120701-20150630
# ----------------------------------------

Day Index,Sessions
7/1/12,"1,105"
7/2/12,"1,575"
7/3/12,"1,711"
7/4/12,"1,733"
7/5/12,"1,724"
7/6/12,"1,884"
7/7/12,"2,414"
7/8/12,"1,308"
7/9/12,"1,820"
7/10/12,"2,405"
7/11/12,"2,133"
7/12/12,"2,460"
7/13/12,"2,583"
7/14/12,"1,818"
7/15/12,"1,904"
7/16/12,"2,704"
7/17/12,"2,970"
7/18/12,"2,849"
7/19/12,"2,426"
7/20/12,"2,522"
7/21/12,"2,378"
7/22/12,"2,212"
7/23/12,"2,425"
7/24/12,"2,472"
7/25/12,"2,631"
7/26/12,"2,052"
7/27/12,"2,160"
7/28/12,"1,771"
7/29/12,"1,926"
7/30/12,"1,814"
7/31/12,"1,342"
8/1/12,"1,242"
8/2/12,"1,115"
8/3/12,"1,297"
8/4/12,"1,136"
8/5/12,"1,186"
8/6/12,"1,313"
8/7/12,"1,257"
8/8/12,"1,289"
8/9/12,"1,107"
8/10/12,"1,019"
8/11/12,"1,042"
8/12/12,"1,505"
8/13/12,"1,284"
8/14/12,961
8/15/12,"1,032"
8/16/12,"1,127"
8/17/12,539
8/18/12,486
8/19/12,296
8/20/12,378
8/21/12,469
8/22/12,568
8/23/12,655
8/24/12,700
8/25/12,670
8/26/12,773
8/27/12,"1,510"
8/28/12,"1,546"
8/29/12,"2,004"
8/30/12,"1,818"
8/31/12,"2,235"
9/1/12,"2,203"
9/2/12,"2,992"
9/3/12,"2,837"
9/4/12,"3,744"
9/5/12,"3,442"
9/6/12,"2,887"
9/7/12,"2,936"
9/8/12,"2,496"
9/9/12,"3,350"
9/10/12,"3,161"
9/11/12,"3,416"
9/12/12,"3,250"
9/13/12,"3,311"
9/14/12,"2,890"
9/15/12,"2,695"
9/16/12,"3,136"
9/17/12,"3,444"
9/18/12,"3,498"
9/19/12,"3,477"
9/20/12,"3,493"
9/21/12,"2,999"
9/22/12,"2,718"
9/23/12,"3,549"
9/24/12,"3,611"
9/25/12,"3,824"
9/26/12,"3,816"
9/27/12,"3,378"
9/28/12,"3,132"
9/29/12,"2,902"
9/30/12,"3,836"
10/1/12,"3,847"
10/2/12,"3,741"
10/3/12,"3,736"
10/4/12,"3,724"
10/5/12,"3,452"
10/6/12,"3,200"
10/7/12,"4,363"
