# ----------------------------------------
# zeniusnet
# Audience Overview
# 20150701-20150826
# ----------------------------------------

Day Index,Sessions
7/1/15,"14,936"
7/2/15,"14,559"
7/3/15,"14,998"
7/4/15,"13,409"
7/5/15,"14,663"
7/6/15,"14,934"
7/7/15,"13,408"
7/8/15,"13,477"
7/9/15,"21,342"
7/10/15,"24,187"
7/11/15,"16,358"
7/12/15,"13,903"
7/13/15,"30,425"
7/14/15,"24,038"
7/15/15,"14,348"
7/16/15,"13,222"
7/17/15,"10,714"
7/18/15,"12,373"
7/19/15,"12,917"
7/20/15,"20,799"
7/21/15,"25,315"
7/22/15,"22,607"
7/23/15,"19,601"
7/24/15,"19,461"
7/25/15,"21,825"
7/26/15,"24,674"
7/27/15,"31,143"
7/28/15,"34,313"
7/29/15,"32,839"
7/30/15,"33,625"
7/31/15,"30,456"
8/1/15,"25,842"
8/2/15,"36,146"
8/3/15,"38,050"
8/4/15,"38,260"
8/5/15,"38,604"
8/6/15,"35,035"
8/7/15,"28,640"
8/8/15,"21,795"
8/9/15,"29,719"
8/10/15,"29,455"
8/11/15,"29,069"
8/12/15,"28,040"
8/13/15,"24,746"
8/14/15,"19,811"
8/15/15,"17,725"
8/16/15,"26,182"
8/17/15,"30,000"
8/18/15,"28,368"
8/19/15,"29,524"
8/20/15,"29,288"
8/21/15,"24,473"
8/22/15,"22,387"
8/23/15,"37,243"
8/24/15,"33,230"
8/25/15,"33,928"
8/26/15,"31,345"
,"1,391,774"

