# ----------------------------------------
# zeniusnet
# Audience Overview
# 20120701-20150630
# ----------------------------------------

Day Index,Users
7/1/12,827
7/2/12,"1,138"
7/3/12,"1,281"
7/4/12,"1,318"
7/5/12,"1,329"
7/6/12,"1,453"
7/7/12,"1,713"
7/8/12,"1,056"
7/9/12,"1,497"
7/10/12,"2,007"
7/11/12,"1,743"
7/12/12,"1,899"
7/13/12,"2,036"
7/14/12,"1,447"
7/15/12,"1,494"
7/16/12,"2,163"
7/17/12,"2,449"
7/18/12,"2,355"
7/19/12,"1,968"
7/20/12,"2,001"
7/21/12,"1,884"
7/22/12,"1,864"
7/23/12,"2,034"
7/24/12,"2,134"
7/25/12,"2,252"
7/26/12,"1,716"
7/27/12,"1,860"
7/28/12,"1,493"
7/29/12,"1,621"
7/30/12,"1,496"
7/31/12,"1,056"
8/1/12,967
8/2/12,878
8/3/12,"1,056"
8/4/12,864
8/5/12,909
8/6/12,"1,039"
8/7/12,991
8/8/12,"1,063"
8/9/12,896
8/10/12,823
8/11/12,868
8/12/12,"1,245"
8/13/12,"1,037"
8/14/12,774
8/15/12,827
8/16/12,901
8/17/12,398
8/18/12,333
8/19/12,212
8/20/12,284
8/21/12,337
8/22/12,407
8/23/12,493
8/24/12,509
8/25/12,505
8/26/12,626
8/27/12,"1,255"
8/28/12,"1,295"
8/29/12,"1,673"
8/30/12,"1,485"
8/31/12,"1,915"
9/1/12,"1,892"
9/2/12,"2,534"
9/3/12,"2,449"
9/4/12,"3,284"
9/5/12,"3,032"
9/6/12,"2,537"
9/7/12,"2,562"
9/8/12,"2,146"
9/9/12,"2,761"
9/10/12,"2,751"
9/11/12,"2,986"
9/12/12,"2,824"
9/13/12,"2,868"
9/14/12,"2,546"
9/15/12,"2,304"
9/16/12,"2,712"
9/17/12,"2,966"
9/18/12,"2,989"
9/19/12,"2,940"
9/20/12,"2,936"
9/21/12,"2,590"
9/22/12,"2,287"
9/23/12,"2,872"
9/24/12,"2,983"
9/25/12,"3,233"
9/26/12,"3,176"
9/27/12,"2,842"
9/28/12,"2,595"
9/29/12,"2,403"
9/30/12,"3,132"
10/1/12,"3,190"
10/2/12,"3,125"
10/3/12,"3,151"
10/4/12,"3,046"
10/5/12,"2,899"
10/6/12,"2,601"
10/7/12,"3,492"
10/8/12,"3,663"
10/9/12,"3,387"
10/10/12,"2,771"
