# ----------------------------------------
# zeniusnet
# Top Events
# 20120701-20150630
# ----------------------------------------

Event Category,Total Events,Unique Events,Event Value,Avg. Value
Videos,"82,268,239","3,392,086","4,231,829,267",51.44
,"82,268,239","3,392,086","4,231,829,267",51.44

Day Index,Total Events
7/1/12,"12,324"
7/2/12,"19,374"
7/3/12,"18,228"
7/4/12,"18,511"
7/5/12,"20,832"
7/6/12,"18,142"
7/7/12,"32,270"
7/8/12,"9,063"
7/9/12,"11,461"
7/10/12,"15,684"
7/11/12,"15,086"
7/12/12,"17,992"
7/13/12,"18,742"
7/14/12,"13,670"
7/15/12,"13,396"
7/16/12,"17,234"
7/17/12,"19,032"
7/18/12,"16,172"
7/19/12,"14,387"
7/20/12,"17,908"
7/21/12,"20,549"
7/22/12,"11,713"
7/23/12,"12,346"
7/24/12,"11,674"
7/25/12,"11,871"
7/26/12,"10,577"
7/27/12,"9,800"
7/28/12,"9,055"
7/29/12,"9,530"
7/30/12,"7,685"
7/31/12,"9,880"
8/1/12,"10,417"
8/2/12,"8,757"
8/3/12,"7,542"
8/4/12,"8,052"
8/5/12,"8,267"
8/6/12,"8,727"
8/7/12,"8,598"
8/8/12,"7,343"
8/9/12,"7,493"
8/10/12,"6,375"
8/11/12,"5,591"
8/12/12,"8,880"
8/13/12,"9,766"
8/14/12,"5,749"
8/15/12,"6,157"
8/16/12,"7,473"
8/17/12,"4,877"
8/18/12,"4,028"
8/19/12,"2,694"
8/20/12,"3,985"
8/21/12,"3,653"
8/22/12,"4,817"
8/23/12,"5,617"
8/24/12,"6,522"
8/25/12,"6,009"
8/26/12,"5,735"
8/27/12,"9,872"
8/28/12,"10,871"
8/29/12,"10,213"
8/30/12,"10,235"
8/31/12,"10,563"
9/1/12,"8,918"
9/2/12,"14,607"
9/3/12,"11,450"
9/4/12,"14,528"
9/5/12,"15,927"
9/6/12,"11,874"
9/7/12,"10,927"
9/8/12,"9,833"
9/9/12,"19,734"
9/10/12,"14,937"
9/11/12,"16,910"
9/12/12,"15,421"
9/13/12,"14,735"
9/14/12,"11,716"
9/15/12,"12,305"
9/16/12,"16,757"
9/17/12,"13,993"
9/18/12,"15,413"
9/19/12,"15,166"
9/20/12,"18,150"
9/21/12,"12,028"
9/22/12,"13,794"
9/23/12,"21,078"
9/24/12,"19,217"
9/25/12,"18,180"
9/26/12,"17,884"
9/27/12,"17,843"
9/28/12,"13,354"
9/29/12,"13,166"
9/30/12,"24,145"
10/1/12,"21,221"
10/2/12,"19,955"
10/3/12,"18,086"
10/4/12,"19,081"
10/5/12,"15,645"
10/6/12,"17,994"
10/7/12,"29,421"
10/8/12,"23,336"
10/9/12,"25,807"
10/10/12,"26,124"
10/11/12,"22,631"
