# ----------------------------------------
# zeniusnet
# Audience Overview
# 20120701-20150630
# ----------------------------------------

Day Index,Avg. Session Duration
7/1/12,00:21:47
7/2/12,00:20:33
7/3/12,00:20:49
7/4/12,00:19:58
7/5/12,00:19:17
7/6/12,00:17:58
7/7/12,00:24:12
7/8/12,00:15:49
7/9/12,00:13:26
7/10/12,00:14:28
7/11/12,00:15:25
7/12/12,00:16:54
7/13/12,00:15:52
7/14/12,00:16:10
7/15/12,00:16:31
7/16/12,00:14:51
7/17/12,00:13:25
7/18/12,00:12:10
7/19/12,00:13:38
7/20/12,00:15:59
7/21/12,00:16:56
7/22/12,00:13:25
7/23/12,00:10:51
7/24/12,00:11:32
7/25/12,00:10:25
7/26/12,00:12:31
7/27/12,00:11:28
7/28/12,00:11:48
7/29/12,00:12:07
7/30/12,00:10:35
7/31/12,00:15:57
8/1/12,00:16:28
8/2/12,00:16:00
8/3/12,00:13:28
8/4/12,00:15:55
8/5/12,00:15:10
8/6/12,00:13:55
8/7/12,00:16:10
8/8/12,00:13:20
8/9/12,00:17:58
8/10/12,00:14:49
8/11/12,00:13:29
8/12/12,00:14:21
8/13/12,00:17:39
8/14/12,00:15:02
8/15/12,00:14:35
8/16/12,00:14:47
8/17/12,00:21:14
8/18/12,00:20:03
8/19/12,00:20:04
8/20/12,00:24:14
8/21/12,00:19:46
8/22/12,00:20:09
8/23/12,00:20:12
8/24/12,00:20:06
8/25/12,00:19:26
8/26/12,00:16:47
8/27/12,00:14:39
8/28/12,00:14:43
8/29/12,00:12:05
8/30/12,00:12:06
8/31/12,00:11:04
9/1/12,00:10:38
9/2/12,00:12:33
9/3/12,00:10:01
9/4/12,00:10:04
9/5/12,00:10:42
9/6/12,00:10:30
9/7/12,00:09:37
9/8/12,00:10:30
9/9/12,00:14:04
9/10/12,00:11:03
9/11/12,00:11:10
9/12/12,00:10:45
9/13/12,00:10:53
9/14/12,00:09:52
9/15/12,00:11:07
9/16/12,00:11:30
9/17/12,00:09:15
9/18/12,00:10:04
9/19/12,00:09:52
9/20/12,00:11:41
9/21/12,00:09:38
9/22/12,00:11:20
9/23/12,00:12:40
9/24/12,00:12:23
9/25/12,00:11:01
9/26/12,00:11:13
9/27/12,00:11:43
9/28/12,00:10:26
9/29/12,00:12:04
9/30/12,00:14:02
10/1/12,00:12:17
10/2/12,00:12:23
10/3/12,00:11:46
10/4/12,00:11:46
10/5/12,00:10:56
10/6/12,00:13:01
10/7/12,00:14:08
10/8/12,00:11:54
10/9/12,00:13:27
10/10/12,00:15:36
10/11/12,00:16:18
10/12/12,00:16:18
10/13/12,00:15:00
10/14/12,00:19:34
10/15/12,00:15:47
10/16/12,00:15:16
10/17/12,00:15:10
10/18/12,00:16:15
10/19/12,00:13:49
10/20/12,00:15:46
10/21/12,00:17:19
10/22/12,00:14:57
10/23/12,00:15:55
10/24/12,00:14:41
10/25/12,00:15:10
10/26/12,00:21:25
