# ----------------------------------------
# zeniusnet
# Audience Overview
# 20120701-20150630
# ----------------------------------------

Day Index,Pageviews
7/1/12,"6,308"
7/2/12,"8,284"
7/3/12,"9,352"
7/4/12,"9,176"
7/5/12,"9,607"
7/6/12,"9,785"
7/7/12,"14,153"
7/8/12,"7,214"
7/9/12,"9,801"
7/10/12,"13,633"
7/11/12,"12,485"
7/12/12,"15,168"
7/13/12,"15,589"
7/14/12,"12,157"
7/15/12,"11,616"
7/16/12,"16,864"
7/17/12,"17,065"
7/18/12,"15,191"
7/19/12,"13,310"
7/20/12,"15,869"
7/21/12,"15,748"
7/22/12,"13,118"
7/23/12,"12,949"
7/24/12,"11,984"
7/25/12,"12,293"
7/26/12,"10,921"
7/27/12,"10,772"
7/28/12,"9,396"
7/29/12,"10,605"
7/30/12,"9,175"
7/31/12,"8,414"
8/1/12,"7,913"
8/2/12,"6,931"
8/3/12,"7,567"
8/4/12,"6,964"
8/5/12,"6,890"
8/6/12,"7,734"
8/7/12,"7,804"
8/8/12,"7,473"
8/9/12,"6,934"
8/10/12,"6,031"
8/11/12,"6,194"
8/12/12,"9,038"
8/13/12,"8,182"
8/14/12,"5,802"
8/15/12,"6,809"
8/16/12,"6,756"
8/17/12,"3,377"
8/18/12,"3,102"
8/19/12,"2,177"
8/20/12,"2,511"
8/21/12,"2,663"
8/22/12,"3,240"
8/23/12,"4,084"
8/24/12,"4,767"
8/25/12,"4,193"
8/26/12,"4,670"
8/27/12,"9,189"
8/28/12,"9,253"
8/29/12,"11,392"
8/30/12,"10,922"
8/31/12,"11,871"
9/1/12,"11,704"
9/2/12,"17,874"
9/3/12,"14,505"
9/4/12,"19,834"
9/5/12,"18,413"
9/6/12,"15,599"
9/7/12,"15,348"
9/8/12,"14,158"
9/9/12,"20,228"
9/10/12,"17,295"
9/11/12,"17,982"
9/12/12,"17,447"
9/13/12,"17,002"
9/14/12,"15,374"
9/15/12,"15,094"
9/16/12,"16,262"
9/17/12,"17,139"
9/18/12,"18,274"
9/19/12,"16,947"
9/20/12,"18,273"
9/21/12,"15,412"
9/22/12,"14,355"
9/23/12,"20,394"
9/24/12,"20,861"
9/25/12,"23,011"
9/26/12,"23,179"
9/27/12,"20,766"
9/28/12,"17,886"
9/29/12,"17,710"
9/30/12,"23,945"
10/1/12,"21,052"
10/2/12,"21,955"
10/3/12,"20,992"
10/4/12,"20,114"
10/5/12,"18,980"
10/6/12,"18,852"
10/7/12,"27,438"
10/8/12,"24,743"
10/9/12,"24,023"
10/10/12,"20,865"
10/11/12,"16,945"
10/12/12,"14,775"
10/13/12,"12,983"
10/14/12,"19,508"
10/15/12,"17,160"
10/16/12,"17,920"
10/17/12,"16,944"
10/18/12,"16,504"
10/19/12,"14,493"
10/20/12,"13,543"
10/21/12,"17,216"
10/22/12,"15,133"
10/23/12,"15,956"
10/24/12,"14,979"
10/25/12,"12,006"
10/26/12,"8,997"
10/27/12,"9,897"
10/28/12,"11,652"
10/29/12,"12,802"
10/30/12,"13,021"
10/31/12,"13,232"
11/1/12,"11,568"
11/2/12,"11,383"
11/3/12,"10,013"
11/4/12,"13,393"
11/5/12,"13,710"
11/6/12,"13,219"
11/7/12,"14,363"
11/8/12,"14,001"
11/9/12,"12,163"
11/10/12,"10,870"
11/11/12,"16,029"
11/12/12,"15,369"
11/13/12,"14,134"
11/14/12,"12,367"
11/15/12,"14,676"
11/16/12,"13,073"
11/17/12,"10,983"
11/18/12,"14,075"
11/19/12,"14,044"
11/20/12,"14,506"
11/21/12,"14,390"
11/22/12,"14,545"
11/23/12,"12,954"
11/24/12,"11,350"
11/25/12,"16,619"
11/26/12,"15,775"
11/27/12,"15,042"
11/28/12,"15,048"
11/29/12,"14,330"
11/30/12,"13,371"
12/1/12,"14,234"
12/2/12,"18,526"
12/3/12,"19,698"
12/4/12,"18,163"
12/5/12,"17,647"
12/6/12,"17,504"
12/7/12,"13,084"
12/8/12,"12,144"
12/9/12,"17,864"
12/10/12,"14,575"
12/11/12,"16,850"
12/12/12,"17,362"
12/13/12,"16,553"
12/14/12,"12,691"
12/15/12,"8,854"
12/16/12,"11,257"
12/17/12,"11,905"
12/18/12,"11,335"
12/19/12,"11,406"
12/20/12,"10,751"
12/21/12,"8,976"
12/22/12,"9,155"
12/23/12,"7,436"
12/24/12,"9,180"
12/25/12,"9,834"
12/26/12,"9,355"
12/27/12,"9,005"
